DSAC
Консоль:
Ep  850 | Reward:    58.2 | Avg100:   -14.9 | Best:   101.5 | Steps: 1000 | Loss: 0.9310
Ep  860 | Reward:   -10.1 | Avg100:   -10.7 | Best:   101.5 | Steps: 159 | Loss: -0.2688
Ep  870 | Reward:    63.3 | Avg100:    -6.0 | Best:   101.5 | Steps: 1000 | Loss: 0.4936
Ep  880 | Reward:   -62.8 | Avg100:    -7.3 | Best:   101.5 | Steps: 138 | Loss: -0.5674
Ep  890 | Reward:    80.2 | Avg100:    -7.0 | Best:   101.5 | Steps: 1000 | Loss: 0.4370
Ep  900 | Reward:   -26.5 | Avg100:    -1.5 | Best:   101.5 | Steps: 1000 | Loss: 0.3587
Ep  910 | Reward:    38.0 | Avg100:     3.8 | Best:   101.5 | Steps: 1000 | Loss: 0.3014
Ep  920 | Reward:    -6.6 | Avg100:     6.6 | Best:   101.5 | Steps: 141 | Loss: -0.4735
Ep  930 | Reward:     6.6 | Avg100:     6.1 | Best:   115.5 | Steps: 126 | Loss: -0.3161
Ep  940 | Reward:   102.1 | Avg100:    11.5 | Best:   131.8 | Steps: 1000 | Loss: 0.7824
Ep  950 | Reward:    36.0 | Avg100:    11.8 | Best:   131.8 | Steps: 1000 | Loss: 0.3389
Ep  960 | Reward:    85.6 | Avg100:    12.6 | Best:   131.8 | Steps: 1000 | Loss: 0.4438
Ep  970 | Reward:     7.8 | Avg100:     9.9 | Best:   131.8 | Steps: 187 | Loss: -0.6188
Ep  980 | Reward:    72.2 | Avg100:    12.0 | Best:   131.8 | Steps: 1000 | Loss: 0.3184
Ep  990 | Reward:    32.6 | Avg100:    18.0 | Best:   131.8 | Steps: 118 | Loss: -0.3407
Ep 1000 | Reward:   101.3 | Avg100:    20.1 | Best:   131.8 | Steps: 1000 | Loss: 0.7303
Ep 1010 | Reward:   116.6 | Avg100:    21.1 | Best:   131.8 | Steps: 1000 | Loss: 1.1804
Ep 1020 | Reward:    44.7 | Avg100:    22.2 | Best:   131.8 | Steps: 162 | Loss: -0.1563
Ep 1030 | Reward:    -0.4 | Avg100:    22.8 | Best:   131.8 | Steps: 184 | Loss: -0.2484
Ep 1040 | Reward:    90.7 | Avg100:    22.6 | Best:   131.8 | Steps: 1000 | Loss: 0.2271
Ep 1050 | Reward:    -8.0 | Avg100:    23.0 | Best:   131.8 | Steps: 128 | Loss: -0.4868
Ep 1060 | Reward:    63.1 | Avg100:    20.5 | Best:   131.8 | Steps: 1000 | Loss: 0.5138
Ep 1070 | Reward:   116.5 | Avg100:    26.7 | Best:   136.1 | Steps: 1000 | Loss: 0.1858
Ep 1080 | Reward:   129.1 | Avg100:    32.8 | Best:   144.2 | Steps: 1000 | Loss: 0.4729
Ep 1090 | Reward:    76.4 | Avg100:    31.6 | Best:   144.2 | Steps: 1000 | Loss: 0.3048
Ep 1100 | Reward:   139.4 | Avg100:    34.7 | Best:   144.2 | Steps: 1000 | Loss: 0.4170
Ep 1110 | Reward:    69.4 | Avg100:    36.9 | Best:   144.2 | Steps: 1000 | Loss: 0.2993
Ep 1120 | Reward:   127.7 | Avg100:    41.3 | Best:   164.8 | Steps: 1000 | Loss: 0.3147
Ep 1130 | Reward:   -24.2 | Avg100:    47.7 | Best:   164.8 | Steps: 185 | Loss: -0.3897
Ep 1140 | Reward:    76.2 | Avg100:    47.3 | Best:   164.8 | Steps: 1000 | Loss: 0.1037
Ep 1150 | Reward:   135.2 | Avg100:    54.8 | Best:   164.8 | Steps: 1000 | Loss: 0.2436
Ep 1160 | Reward:    68.2 | Avg100:    57.4 | Best:   164.8 | Steps: 1000 | Loss: 0.2111
Ep 1170 | Reward:    41.1 | Avg100:    60.6 | Best:   164.8 | Steps: 131 | Loss: -0.4873
Ep 1180 | Reward:   127.7 | Avg100:    56.0 | Best:   164.8 | Steps: 1000 | Loss: 0.2973
Ep 1190 | Reward:   104.5 | Avg100:    57.3 | Best:   164.8 | Steps: 1000 | Loss: 0.6456
Ep 1200 | Reward:     4.2 | Avg100:    54.4 | Best:   169.8 | Steps: 114 | Loss: -0.3295
Ep 1210 | Reward:    95.5 | Avg100:    53.6 | Best:   169.8 | Steps: 1000 | Loss: 0.8994
Ep 1220 | Reward:   -23.2 | Avg100:    47.8 | Best:   169.8 | Steps: 117 | Loss: -0.1266
